x,y,Date
173.513,-42.13107,11-11-2009 7:43
173.51327,-42.13104,11-11-2009 9:43
173.51132,-42.1301,17-11-2009 5:43
173.51147,-42.13019,17-11-2009 7:43
173.51148,-42.12993,17-11-2009 9:43
173.51129,-42.1303,17-11-2009 19:43
173.51428,-42.12955,18-11-2009 5:44
173.51393,-42.13035,18-11-2009 7:45
173.51123,-42.1302,19-11-2009 5:43
173.51131,-42.13023,19-11-2009 7:43
173.51133,-42.13019,19-11-2009 9:43
173.51608,-42.14569,17-09-2009 1:33
173.51507,-42.14557,17-09-2009 3:33
173.51523,-42.14544,17-09-2009 5:33
173.51513,-42.14549,17-09-2009 8:33
173.51304,-42.14409,18-09-2009 1:32
173.5129,-42.14406,18-09-2009 3:32
173.51339,-42.14408,18-09-2009 5:32
173.51295,-42.14411,18-09-2009 8:34
173.51383,-42.14471,24-09-2009 1:33
173.51307,-42.14408,24-09-2009 3:33
173.51298,-42.14413,24-09-2009 5:33
173.51305,-42.14407,24-09-2009 8:34
173.51498,-42.1412,30-09-2009 2:33
173.51511,-42.14157,30-09-2009 4:33
173.51509,-42.14161,30-09-2009 6:34
173.51297,-42.14412,1-10-2009 4:33
173.51311,-42.14389,1-10-2009 6:34
173.51296,-42.14406,1-10-2009 9:33
173.51478,-42.14555,2-10-2009 2:33
173.51469,-42.14558,2-10-2009 4:33
173.51407,-42.1449,2-10-2009 6:33
173.51396,-42.14494,2-10-2009 9:33
173.5143,-42.14116,11-10-2009 2:33
173.51502,-42.14163,11-10-2009 4:33
173.5151,-42.14156,11-10-2009 6:33
173.51508,-42.14161,11-10-2009 9:33
173.51356,-42.14422,12-10-2009 2:34
173.51508,-42.14161,12-10-2009 4:33
173.51508,-42.1416,12-10-2009 6:33
173.51513,-42.14161,12-10-2009 9:33
173.51278,-42.14394,13-10-2009 2:33
173.51588,-42.14154,13-10-2009 4:33
173.51505,-42.14158,13-10-2009 6:33
173.51511,-42.14159,13-10-2009 9:34
173.51376,-42.14565,14-10-2009 2:34
173.51303,-42.14407,14-10-2009 4:34
173.51315,-42.14394,14-10-2009 6:33
173.51307,-42.14408,14-10-2009 9:34
173.51332,-42.14446,21-10-2009 2:34
173.51514,-42.14162,21-10-2009 4:34
173.51489,-42.14174,21-10-2009 6:33
173.51516,-42.14147,21-10-2009 9:34
173.51308,-42.14498,22-10-2009 2:34
173.51311,-42.14484,22-10-2009 4:34
173.51292,-42.14411,22-10-2009 6:34
173.51306,-42.14398,22-10-2009 9:34
173.51406,-42.14496,26-10-2009 2:34
173.51312,-42.14425,26-10-2009 4:35
173.51296,-42.14403,26-10-2009 6:34
173.51308,-42.14405,26-10-2009 9:34
173.51309,-42.14418,30-10-2009 2:35
173.51526,-42.14198,30-10-2009 6:34
173.51502,-42.14181,30-10-2009 9:34
173.5134,-42.14739,31-10-2009 2:34
173.51505,-42.14158,31-10-2009 6:34
173.51514,-42.1415,31-10-2009 9:34
173.51279,-42.14455,1-11-2009 2:37
173.51474,-42.1421,1-11-2009 4:35
173.51481,-42.14179,1-11-2009 6:34
173.51514,-42.14153,1-11-2009 9:34
173.51502,-42.14617,2-11-2009 2:34
173.51618,-42.14217,2-11-2009 4:34
173.51619,-42.14173,2-11-2009 6:36
173.51608,-42.14176,2-11-2009 9:34
173.51304,-42.14482,3-11-2009 2:35
173.51397,-42.14474,3-11-2009 4:35
173.51501,-42.14236,3-11-2009 6:36
173.51315,-42.14423,4-11-2009 2:34
173.51359,-42.14408,4-11-2009 4:34
173.51551,-42.14215,4-11-2009 6:37
173.51581,-42.14211,4-11-2009 9:37
173.51307,-42.14417,5-11-2009 2:34
173.51446,-42.14188,5-11-2009 4:34
173.51414,-42.14176,5-11-2009 6:34
173.51512,-42.14157,5-11-2009 9:34
173.51333,-42.14458,6-11-2009 2:34
173.51388,-42.14492,6-11-2009 6:35
173.51402,-42.14521,6-11-2009 9:34
173.51364,-42.14506,7-11-2009 2:36
173.51394,-42.1433,7-11-2009 4:34
173.51514,-42.14186,7-11-2009 6:35
173.51292,-42.14413,8-11-2009 2:35
173.51635,-42.14174,8-11-2009 4:35
173.51619,-42.14213,8-11-2009 6:34
173.51608,-42.14181,8-11-2009 9:36
173.51322,-42.14409,9-11-2009 2:35
173.51537,-42.14201,9-11-2009 6:36
173.51605,-42.14182,9-11-2009 9:35
173.51136,-42.14392,10-11-2009 2:35
173.51409,-42.1424,10-11-2009 4:34
173.51509,-42.14154,10-11-2009 6:35
173.51519,-42.14154,10-11-2009 9:35
173.51328,-42.14453,12-11-2009 2:35
173.51473,-42.14205,12-11-2009 4:35
173.51507,-42.14168,12-11-2009 6:35
173.51511,-42.14159,12-11-2009 9:35
173.51485,-42.14402,20-11-2009 2:35
173.5161,-42.1418,20-11-2009 4:35
173.51566,-42.14178,20-11-2009 6:37
173.51524,-42.14582,21-11-2009 2:35
173.51383,-42.14531,21-11-2009 4:35
173.51394,-42.14513,21-11-2009 6:36
173.51395,-42.14524,21-11-2009 9:36
173.51447,-42.14097,22-11-2009 2:35
173.51513,-42.1416,22-11-2009 4:35
173.51511,-42.14163,22-11-2009 6:35
173.51511,-42.14158,22-11-2009 9:35
173.51288,-42.14299,23-11-2009 2:35
173.51616,-42.14116,23-11-2009 4:35
173.5161,-42.14138,23-11-2009 6:35
173.51609,-42.14178,23-11-2009 9:35
173.51251,-42.14355,24-11-2009 2:35
173.5139,-42.14508,24-11-2009 4:35
173.51399,-42.14508,24-11-2009 6:37
173.51394,-42.14519,24-11-2009 9:35
173.51528,-42.1413,25-11-2009 2:35
173.51511,-42.14161,25-11-2009 6:35
173.5152,-42.14161,25-11-2009 9:35
173.51477,-42.14081,27-11-2009 2:35
173.51503,-42.14165,27-11-2009 4:35
173.51514,-42.14124,27-11-2009 6:36
173.51509,-42.14164,27-11-2009 9:38
173.51614,-42.14514,28-11-2009 2:35
173.5142,-42.14478,28-11-2009 4:36
173.5157,-42.14467,28-11-2009 6:37
173.51404,-42.14532,28-11-2009 9:36
173.51393,-42.14114,29-11-2009 2:35
173.51513,-42.14151,29-11-2009 4:35
173.51513,-42.14163,29-11-2009 6:35
173.51521,-42.1415,29-11-2009 9:35
173.51448,-42.14549,30-11-2009 2:35
173.51559,-42.14306,30-11-2009 4:35
173.5167,-42.14104,30-11-2009 6:36
173.51353,-42.14428,1-12-2009 2:36
173.51501,-42.14198,1-12-2009 4:36
173.51518,-42.14153,1-12-2009 9:35
173.5143,-42.14459,2-12-2009 2:37
173.51485,-42.14343,2-12-2009 4:35
173.51636,-42.14152,2-12-2009 6:36
173.51525,-42.14199,2-12-2009 9:36
173.514,-42.14493,4-12-2009 2:36
173.51381,-42.14355,4-12-2009 4:35
173.51535,-42.14156,4-12-2009 6:36
173.51527,-42.1415,4-12-2009 9:36
173.5131,-42.14301,6-12-2009 2:36
173.51506,-42.14193,6-12-2009 4:37
173.51521,-42.14169,6-12-2009 6:36
173.51505,-42.14185,6-12-2009 9:38
173.51256,-42.14406,8-12-2009 2:36
173.51518,-42.14177,8-12-2009 6:36
173.51496,-42.14162,8-12-2009 9:36
173.51254,-42.14458,9-12-2009 2:36
173.51404,-42.14489,9-12-2009 4:36
173.51613,-42.14174,9-12-2009 9:36
173.51316,-42.14423,10-12-2009 2:36
173.51425,-42.14508,10-12-2009 4:35
173.51413,-42.1458,10-12-2009 6:38
173.51402,-42.14513,10-12-2009 9:36
173.51343,-42.14475,11-12-2009 2:36
173.51327,-42.14196,11-12-2009 4:36
173.51605,-42.14178,11-12-2009 6:36
173.517,-42.14154,11-12-2009 9:37
173.51314,-42.14349,12-12-2009 2:36
173.51329,-42.14429,12-12-2009 4:36
173.51334,-42.14437,12-12-2009 6:36
173.51313,-42.14466,13-12-2009 2:36
173.51383,-42.14329,13-12-2009 4:36
173.51607,-42.14174,13-12-2009 9:38
173.51345,-42.14503,14-12-2009 2:36
173.51403,-42.14493,14-12-2009 4:36
173.51584,-42.14185,14-12-2009 6:36
173.51639,-42.14179,14-12-2009 9:36
173.5146,-42.14378,15-12-2009 2:36
173.51451,-42.1452,15-12-2009 4:36
173.51404,-42.14588,15-12-2009 6:36
173.51414,-42.14533,15-12-2009 9:36
173.51391,-42.14315,16-12-2009 2:36
173.51457,-42.14168,16-12-2009 4:36
173.51483,-42.142,16-12-2009 6:36
173.51484,-42.14198,16-12-2009 9:36
173.51418,-42.14558,17-12-2009 2:36
173.51568,-42.14333,17-12-2009 4:36
173.5151,-42.14163,17-12-2009 6:36
173.51508,-42.1415,17-12-2009 9:37
173.51249,-42.14588,19-12-2009 2:36
173.51478,-42.14532,19-12-2009 4:36
173.51501,-42.14492,19-12-2009 6:38
173.5146,-42.1407,20-12-2009 2:36
173.51509,-42.14152,20-12-2009 4:36
173.5151,-42.14158,20-12-2009 6:37
173.51273,-42.14348,21-12-2009 2:36
173.51504,-42.14179,21-12-2009 4:36
173.51513,-42.14156,21-12-2009 6:36
173.51515,-42.14162,21-12-2009 9:36
173.51454,-42.14056,25-12-2009 2:37
173.5158,-42.14178,25-12-2009 4:36
173.51607,-42.14178,25-12-2009 9:36
173.51342,-42.14371,26-12-2009 2:37
173.51478,-42.14088,26-12-2009 4:37
173.51564,-42.1418,26-12-2009 6:37
173.5157,-42.14167,26-12-2009 9:37
173.51243,-42.14394,27-12-2009 2:37
173.51377,-42.14514,27-12-2009 4:37
173.51393,-42.14518,27-12-2009 6:37
173.51419,-42.14517,27-12-2009 9:39
173.51468,-42.14466,30-12-2009 2:37
173.51325,-42.14412,30-12-2009 4:37
173.51331,-42.14413,30-12-2009 6:37
173.51312,-42.1442,30-12-2009 9:37
173.51529,-42.14559,1-01-2010 2:37
173.5137,-42.14465,1-01-2010 4:37
173.51513,-42.14158,1-01-2010 6:37
173.51519,-42.14156,1-01-2010 9:37
173.51419,-42.14484,2-01-2010 2:37
173.51504,-42.14267,2-01-2010 4:37
